pattern,blur_sigma,quality,chroma_sampling,baseline_path,candidate_path,candidate_path_description,encoded_bytes_equal,quantization_tables_equal,component_signatures_equal,baseline_size_bytes,candidate_size_bytes,candidate_to_baseline_size_ratio,decoded_pixels_equal,decoded_pixel_mae,decoded_pixel_max_abs_error,decoded_changed_pixel_fraction,laplacian_candidate_to_baseline_ratio,tenengrad_candidate_to_baseline_ratio
achromatic_checkerboard,0,50,444,opencv_quality,pillow_quality,"Pillow numeric quality, default Huffman coding",1,1,1,3658,3658,1.000000,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,0,50,444,opencv_quality,pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,1,1,1,3658,3658,1.000000,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,0,50,444,opencv_quality,pillow_optimized,"Pillow numeric quality, optimized Huffman coding",0,1,1,3658,1924,0.525970,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,0,50,420,opencv_quality,pillow_quality,"Pillow numeric quality, default Huffman coding",1,1,1,2290,2290,1.000000,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,0,50,420,opencv_quality,pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,1,1,1,2290,2290,1.000000,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,0,50,420,opencv_quality,pillow_optimized,"Pillow numeric quality, optimized Huffman coding",0,1,1,2290,1180,0.515284,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,0,75,444,opencv_quality,pillow_quality,"Pillow numeric quality, default Huffman coding",1,1,1,3907,3907,1.000000,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,0,75,444,opencv_quality,pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,1,1,1,3907,3907,1.000000,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,0,75,444,opencv_quality,pillow_optimized,"Pillow numeric quality, optimized Huffman coding",0,1,1,3907,2048,0.524187,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,0,75,420,opencv_quality,pillow_quality,"Pillow numeric quality, default Huffman coding",1,1,1,2419,2419,1.000000,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,0,75,420,opencv_quality,pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,1,1,1,2419,2419,1.000000,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,0,75,420,opencv_quality,pillow_optimized,"Pillow numeric quality, optimized Huffman coding",0,1,1,2419,1244,0.514262,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,0,95,444,opencv_quality,pillow_quality,"Pillow numeric quality, default Huffman coding",1,1,1,4515,4515,1.000000,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,0,95,444,opencv_quality,pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,1,1,1,4515,4515,1.000000,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,0,95,444,opencv_quality,pillow_optimized,"Pillow numeric quality, optimized Huffman coding",0,1,1,4515,2357,0.522038,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,0,95,420,opencv_quality,pillow_quality,"Pillow numeric quality, default Huffman coding",1,1,1,2675,2675,1.000000,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,0,95,420,opencv_quality,pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,1,1,1,2675,2675,1.000000,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,0,95,420,opencv_quality,pillow_optimized,"Pillow numeric quality, optimized Huffman coding",0,1,1,2675,1373,0.513271,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,1,50,444,opencv_quality,pillow_quality,"Pillow numeric quality, default Huffman coding",1,1,1,15239,15239,1.000000,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,1,50,444,opencv_quality,pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,1,1,1,15239,15239,1.000000,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,1,50,444,opencv_quality,pillow_optimized,"Pillow numeric quality, optimized Huffman coding",0,1,1,15239,8156,0.535206,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,1,50,420,opencv_quality,pillow_quality,"Pillow numeric quality, default Huffman coding",1,1,1,13246,13246,1.000000,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,1,50,420,opencv_quality,pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,1,1,1,13246,13246,1.000000,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,1,50,420,opencv_quality,pillow_optimized,"Pillow numeric quality, optimized Huffman coding",0,1,1,13246,7475,0.564321,1,0.000000,0,0.000000,1.000000,1.000000
achromatic_checkerboard,1,75,444,opencv_quality,pillow_quality,"Pillow numeric quality, default Huffman coding",1,1,1,17972,17972,1.000000,1,0.000000,0,0.000000,1.000000,1.000000
